variable ;missing value rate
rev_Mean;0.41%
mou_Mean;0.41%
totmrc_Mean;0.41%
da_Mean;0.41%
ovrmou_Mean;0.41%
ovrrev_Mean;0.41%
vceovr_Mean;0.41%
datovr_Mean;0.41%
roam_Mean;0.41%
rev_Range;0.41%
mou_Range;0.41%
totmrc_Range;0.41%
da_Range;0.41%
ovrmou_Range;0.41%
ovrrev_Range;0.41%
vceovr_Range;0.41%
datovr_Range;0.41%
roam_Range;0.41%
change_mou;0.95%
change_rev;0.95%
drop_vce_Mean;0.00%
drop_dat_Mean;0.00%
blck_vce_Mean;0.00%
blck_dat_Mean;0.00%
unan_vce_Mean;0.00%
unan_dat_Mean;0.00%
plcd_vce_Mean;0.00%
plcd_dat_Mean;0.00%
recv_vce_Mean;0.00%
recv_sms_Mean;0.00%
comp_vce_Mean;0.00%
comp_dat_Mean;0.00%
custcare_Mean;0.00%
ccrndmou_Mean;0.00%
cc_mou_Mean;0.00%
inonemin_Mean;0.00%
threeway_Mean;0.00%
mou_cvce_Mean;0.00%
mou_cdat_Mean;0.00%
mou_rvce_Mean;0.00%
owylis_vce_Mean;0.00%
mouowylisv_Mean;0.00%
iwylis_vce_Mean;0.00%
mouiwylisv_Mean;0.00%
peak_vce_Mean;0.00%
peak_dat_Mean;0.00%
mou_peav_Mean;0.00%
mou_pead_Mean;0.00%
opk_vce_Mean;0.00%
opk_dat_Mean;0.00%
mou_opkv_Mean;0.00%
mou_opkd_Mean;0.00%
drop_blk_Mean;0.00%
attempt_Mean;0.00%
complete_Mean;0.00%
callfwdv_Mean;0.00%
callwait_Mean;0.00%
drop_vce_Range;0.00%
drop_dat_Range;0.00%
blck_vce_Range;0.00%
blck_dat_Range;0.00%
unan_vce_Range;0.00%
unan_dat_Range;0.00%
plcd_vce_Range;0.00%
plcd_dat_Range;0.00%
recv_vce_Range;0.00%
recv_sms_Range;0.00%
comp_vce_Range;0.00%
comp_dat_Range;0.00%
custcare_Range;0.00%
ccrndmou_Range;0.00%
cc_mou_Range;0.00%
inonemin_Range;0.00%
threeway_Range;0.00%
mou_cvce_Range;0.00%
mou_cdat_Range;0.00%
mou_rvce_Range;0.00%
owylis_vce_Range;0.00%
mouowylisv_Range;0.00%
iwylis_vce_Range;0.00%
mouiwylisv_Range;0.00%
peak_vce_Range;0.00%
peak_dat_Range;0.00%
mou_peav_Range;0.00%
mou_pead_Range;0.00%
opk_vce_Range;0.00%
opk_dat_Range;0.00%
mou_opkv_Range;0.00%
mou_opkd_Range;0.00%
drop_blk_Range;0.00%
attempt_Range;0.00%
complete_Range;0.00%
callfwdv_Range;0.00%
callwait_Range;0.00%
months;0.00%
uniqsubs;0.00%
actvsubs;0.00%
crtcount;96.51%
new_cell;0.00%
crclscod;0.00%
asl_flag;0.00%
rmcalls;85.93%
rmmou;85.93%
rmrev;85.93%
totcalls;0.00%
totmou;0.00%
totrev;0.00%
adjrev;0.00%
adjmou;0.00%
adjqty;0.00%
avgrev;0.00%
avgmou;0.00%
avgqty;0.00%
avg3mou;0.00%
avg3qty;0.00%
avg3rev;0.00%
avg6mou;2.88%
avg6qty;2.88%
avg6rev;2.88%
REF_QTY;95.49%
tot_ret;96.17%
tot_acpt;96.17%
prizm_social_one;7.51%
div_type;81.62%
csa;0.06%
area;0.06%
dualband;0.01%
refurb_new;0.01%
hnd_price;0.86%
pre_hnd_price;57.44%
phones;0.01%
last_swap;57.16%
models;0.01%
hnd_webcap;0.01%
truck;1.76%
mtrcycle;1.76%
rv;1.76%
occu1;73.39%
ownrent;33.74%
lor;30.38%
dwlltype;32.15%
marital;1.76%
mailordr;64.35%
age1;1.76%
age2;1.76%
wrkwoman;87.69%
mailresp;62.90%
children;66.08%
adults;23.14%
infobase;22.13%
income;25.56%
numbcars;49.51%
cartype;68.44%
HHstatin;38.07%
mailflag;98.49%
solflag;98.07%
dwllsize;38.55%
forgntvl;1.76%
educ1;86.56%
proptype;71.88%
pcowner;81.64%
ethnic;1.76%
kid0_2;1.76%
kid3_5;1.76%
kid6_10;1.76%
kid11_15;1.76%
kid16_17;1.76%
creditcd;1.76%
car_buy;1.76%
retdays;96.17%
eqpdays;0.01%
Customer_ID;0.00%
churn;0.00%
